5	32	3	32786	0
5	24	2	8193	1
5	28	2	8193	0
5	48	3	65541	1
5	34	3	32786	1
5	32	3	32786	1
5	27	4	294929	0
5	40	4	278561	1
5	36	4	294929	1
5	17	4	294929	1
5	27	3	262209	0
5	21	4	294929	1
5	40	4	278561	1
5	36	3	16842754	1
5	19	2	130	1
5	28	2	130	0
5	41	3	32777	1
5	37	3	32786	0
5	35	2	8193	1
5	22	2	2097156	1
5	36	3	262161	1
5	37	3	262161	1
5	35	4	655489	1
5	18	4	1572993	1
5	29	4	1572993	0
5	35	2	129	1
5	32	4	1572993	1
5	24	2	129	0
5	34	2	129	1
5	34	2	16388	1
5	35	2	8196	0
5	20	2	8196	0
5	35	2	129	0
5	38	2	129	1
5	31	2	8388609	1
5	33	2	4194306	1
5	37	2	4194306	1
5	38	2	8193	1
5	18	4	8552449	1
5	39	4	10616833	1
5	28	4	8552449	1
5	33	4	8527873	0
5	35	2	8193	1
5	34	3	33793	1
5	35	3	33793	0
5	28	4	50177	0
5	35	3	33793	1
5	35	3	33793	1
5	28	3	33793	0
5	37	2	33	1
5	18	3	16777249	1
5	20	3	16777249	1
5	38	4	16777253	1
5	40	3	16777249	0
5	34	6	53289	1
5	40	6	53289	0
5	39	5	20521	1
5	20	3	16417	1
5	26	4	16433	0
5	32	3	16417	1
5	39	3	16417	1
5	35	3	16417	0
5	35	3	16417	1
5	39	3	16417	0
5	18	3	16417	0
5	33	2	33	1
5	39	3	16417	0
5	42	3	16417	0
5	18	3	16417	0
5	36	2	16385	1
5	31	2	129	0
5	32	2	16385	1
5	19	3	65569	1
5	36	3	65569	1
5	28	3	65569	1
5	28	3	65569	1
5	33	3	65569	1
5	48	2	65540	1
5	22	4	20513	1
5	28	2	16385	0
5	32	2	2097153	1
5	36	2	2097153	1
5	35	2	4194305	1
5	28	2	4194305	1
5	33	2	4194305	1
5	20	3	65541	1
5	36	3	65541	1
5	38	3	65541	0
5	34	3	65541	1
5	36	3	65541	0
5	35	2	4194305	1
5	53	2	4194305	1
5	27	2	65540	1
5	32	2	2097154	1
5	28	2	16385	0
5	37	2	16385	1
5	41	2	16385	1
5	25	2	16385	1
5	37	2	16385	1
5	128	2	16385	0
5	40	3	33793	1
5	18	3	8396801	1
5	36	3	10485761	1
5	32	3	8396801	0
5	23	3	8396801	0
5	31	2	8194	1
5	40	2	132	0
5	19	3	786433	1
5	19	3	786433	0
5	60	3	786433	0
5	18	4	1114241	1
5	34	4	1114241	1
5	35	4	1114241	1
5	16	3	6145	0
5	29	5	38921	0
5	33	2	8194	1
5	38	3	8209	1
5	36	3	32785	1
